name,student_number,score.percentage
Alexander,13,82.0
Evelyn,14,82.0
Ethan,15,80.0
Samuel,16,76.0
Henry,17,76.0
Layla,18,76.0
Olivia,19,74.0
Hazel,20,76.0
Jack,21,76.0
Caleb,22,66.0
James,23,84.0
Madison,24,80.0
Amelia,25,74.0
Dylan,26,80.0
Sophia,27,76.0
Oliver,28,80.0
Lucas,29,80.0
Aria,30,80.0
Emily,31,78.0
Riley,32,80.0
Harper,33,80.0
Nora,34,74.0
Benjamin,35,72.0
Natalie,36,80.0
Lily,37,80.0
Audrey,38,82.0
Ava,39,74.0
Connor,40,78.0
Grace,41,72.0
Stella,42,26.0
Daniel,43,76.0
Elijah,44,80.0
Nathan,45,78.0
Leo,46,80.0
William,47,80.0
Ryan,48,78.0
Jacob,49,10.0
Owen,50,78.0
Matthew,51,38.0
Zachary,52,74.0
Ella,53,82.0
Penelope,54,78.0
Charlotte,55,82.0
Zoe,56,78.0
Scarlett,57,48.0
Ruby,58,78.0
Isabella,59,80.0
Hannah,60,84.0
Violet,61,74.0
Bella,62,70.0
Noah,63,78.0
Brown,64,78.0
Moore,65,78.0
Lewis,66,78.0
Rodriguez,67,82.0
Gonzalez,68,82.0
Garcia,69,82.0
Anderson,70,80.0
Martin,71,74.0
Perez,72,80.0
Young,73,78.0
Ramirez,74,82.0
Hill,75,78.0
Nguyen,76,10.0
Taylor,77,78.0
Scott,78,80.0
Thomas,79,82.0
Ramirez,80,78.0
Allen,81,76.0
Davis,82,78.0
Harris,83,82.0
Thompson,84,80.0
Lewis,85,74.0
Lee,86,80.0
Sanchez,87,70.0
Wright,88,76.0
Lopez,89,82.0
Hill,90,76.0
Martin,91,78.0
Harris,92,82.0
Taylor,93,78.0
Johnson,94,78.0
Williams,95,78.0
Moore,96,82.0
Thompson,97,78.0
Scott,98,76.0
Ramirez,99,18.0
Thompson,100,76.0
Walker,101,80.0
Hernandez,102,76.0
Nguyen,103,78.0
Wright,104,74.0
Johnson,105,82.0
Flores,106,82.0
Miller,107,80.0
Johnson,108,80.0
Hernandez,109,76.0
Allen,110,80.0
