name,student_number,score.percentage
Alexander,13,80.0
Evelyn,14,80.0
Ethan,15,80.0
Samuel,16,80.0
Henry,17,78.0
Layla,18,76.0
Olivia,19,78.0
Hazel,20,80.0
Jack,21,82.0
Caleb,22,78.0
James,23,76.0
Madison,24,82.0
Amelia,25,80.0
Dylan,26,78.0
Sophia,27,80.0
Oliver,28,80.0
Lucas,29,80.0
Aria,30,78.0
Emily,31,78.0
Riley,32,78.0
Harper,33,82.0
Nora,34,80.0
Benjamin,35,80.0
Natalie,36,80.0
Lily,37,78.0
Audrey,38,76.0
Ava,39,78.0
Connor,40,80.0
Grace,41,80.0
Stella,42,80.0
Daniel,43,80.0
Elijah,44,78.0
Nathan,45,76.0
Leo,46,80.0
William,47,82.0
Ryan,48,82.0
Jacob,49,80.0
Owen,50,78.0
Matthew,51,78.0
Zachary,52,80.0
Ella,53,84.0
Penelope,54,84.0
Charlotte,55,78.0
Zoe,56,80.0
Scarlett,57,82.0
Ruby,58,82.0
Isabella,59,78.0
Hannah,60,82.0
Violet,61,80.0
Bella,62,84.0
Noah,63,80.0
Brown,64,80.0
Moore,65,78.0
Lewis,66,82.0
Rodriguez,67,82.0
Gonzalez,68,80.0
Garcia,69,80.0
Anderson,70,80.0
Martin,71,74.0
Perez,72,78.0
Young,73,78.0
Ramirez,74,82.0
Hill,75,78.0
Nguyen,76,82.0
Taylor,77,78.0
Scott,78,82.0
Thomas,79,78.0
Ramirez,80,86.0
Allen,81,80.0
Davis,82,80.0
Harris,83,80.0
Thompson,84,78.0
Lewis,85,82.0
Lee,86,84.0
Sanchez,87,82.0
Wright,88,82.0
Lopez,89,80.0
Hill,90,76.0
Martin,91,78.0
Harris,92,78.0
Taylor,93,74.0
Johnson,94,80.0
Williams,95,78.0
Moore,96,80.0
Thompson,97,76.0
Scott,98,78.0
Ramirez,99,74.0
Thompson,100,80.0
Walker,101,76.0
Hernandez,102,78.0
Nguyen,103,82.0
Wright,104,80.0
Johnson,105,76.0
Flores,106,78.0
Miller,107,80.0
Johnson,108,84.0
Hernandez,109,82.0
Allen,110,78.0
