name,student_number,score.percentage
Alexander,13,96.0
Evelyn,14,94.0
Ethan,15,94.0
Samuel,16,96.0
Henry,17,38.0
Layla,18,92.0
Olivia,19,92.0
Hazel,20,92.0
Jack,21,92.0
Caleb,22,94.0
James,23,94.0
Madison,24,92.0
Amelia,25,94.0
Dylan,26,92.0
Sophia,27,92.0
Oliver,28,92.0
Lucas,29,94.0
Aria,30,94.0
Emily,31,94.0
Riley,32,94.0
Harper,33,92.0
Nora,34,92.0
Benjamin,35,92.0
Natalie,36,94.0
Lily,37,94.0
Audrey,38,92.0
Ava,39,96.0
Connor,40,96.0
Grace,41,94.0
Stella,42,90.0
Daniel,43,94.0
Elijah,44,94.0
Nathan,45,92.0
Leo,46,92.0
William,47,96.0
Ryan,48,92.0
Jacob,49,90.0
Owen,50,94.0
Matthew,51,20.0
Zachary,52,96.0
Ella,53,90.0
Penelope,54,92.0
Charlotte,55,94.0
Zoe,56,22.0
Scarlett,57,90.0
Ruby,58,90.0
Isabella,59,96.0
Hannah,60,92.0
Violet,61,94.0
Bella,62,96.0
Noah,63,92.0
Brown,64,96.0
Moore,65,94.0
Lewis,66,94.0
Rodriguez,67,96.0
Gonzalez,68,92.0
Garcia,69,92.0
Anderson,70,94.0
Martin,71,92.0
Perez,72,94.0
Young,73,94.0
Ramirez,74,94.0
Hill,75,96.0
Nguyen,76,40.0
Taylor,77,88.0
Scott,78,94.0
Thomas,79,92.0
Ramirez,80,92.0
Allen,81,94.0
Davis,82,94.0
Harris,83,86.0
Thompson,84,94.0
Lewis,85,80.0
Lee,86,96.0
Sanchez,87,90.0
Wright,88,92.0
Lopez,89,94.0
Hill,90,96.0
Martin,91,92.0
Harris,92,92.0
Taylor,93,94.0
Johnson,94,96.0
Williams,95,94.0
Moore,96,92.0
Thompson,97,94.0
Scott,98,94.0
Ramirez,99,8.0
Thompson,100,94.0
Walker,101,94.0
Hernandez,102,88.0
Nguyen,103,94.0
Wright,104,92.0
Johnson,105,92.0
Flores,106,94.0
Miller,107,92.0
Johnson,108,94.0
Hernandez,109,92.0
Allen,110,92.0
