name,student_number,score.percentage
Alexander,13,96.0
Evelyn,14,92.0
Ethan,15,94.0
Samuel,16,92.0
Henry,17,94.0
Layla,18,96.0
Olivia,19,94.0
Hazel,20,94.0
Jack,21,92.0
Caleb,22,94.0
James,23,94.0
Madison,24,94.0
Amelia,25,96.0
Dylan,26,92.0
Sophia,27,96.0
Oliver,28,96.0
Lucas,29,96.0
Aria,30,96.0
Emily,31,92.0
Riley,32,92.0
Harper,33,96.0
Nora,34,96.0
Benjamin,35,94.0
Natalie,36,92.0
Lily,37,94.0
Audrey,38,92.0
Ava,39,96.0
Connor,40,92.0
Grace,41,92.0
Stella,42,96.0
Daniel,43,96.0
Elijah,44,94.0
Nathan,45,94.0
Leo,46,94.0
William,47,94.0
Ryan,48,94.0
Jacob,49,94.0
Owen,50,96.0
Matthew,51,94.0
Zachary,52,94.0
Ella,53,96.0
Penelope,54,92.0
Charlotte,55,96.0
Zoe,56,94.0
Scarlett,57,96.0
Ruby,58,94.0
Isabella,59,94.0
Hannah,60,96.0
Violet,61,96.0
Bella,62,90.0
Noah,63,94.0
Brown,64,96.0
Moore,65,96.0
Lewis,66,96.0
Rodriguez,67,94.0
Gonzalez,68,92.0
Garcia,69,96.0
Anderson,70,94.0
Martin,71,94.0
Perez,72,96.0
Young,73,94.0
Ramirez,74,96.0
Hill,75,94.0
Nguyen,76,92.0
Taylor,77,96.0
Scott,78,94.0
Thomas,79,94.0
Ramirez,80,96.0
Allen,81,94.0
Davis,82,90.0
Harris,83,92.0
Thompson,84,92.0
Lewis,85,96.0
Lee,86,96.0
Sanchez,87,92.0
Wright,88,94.0
Lopez,89,92.0
Hill,90,92.0
Martin,91,92.0
Harris,92,94.0
Taylor,93,90.0
Johnson,94,92.0
Williams,95,94.0
Moore,96,94.0
Thompson,97,94.0
Scott,98,94.0
Ramirez,99,94.0
Thompson,100,92.0
Walker,101,92.0
Hernandez,102,92.0
Nguyen,103,90.0
Wright,104,94.0
Johnson,105,92.0
Flores,106,96.0
Miller,107,96.0
Johnson,108,92.0
Hernandez,109,94.0
Allen,110,94.0
