name,student_number,score.percentage
Alexander,13,92.0
Evelyn,14,92.0
Ethan,15,92.0
Samuel,16,92.0
Henry,17,92.0
Layla,18,92.0
Olivia,19,92.0
Hazel,20,90.0
Jack,21,92.0
Caleb,22,92.0
James,23,92.0
Madison,24,92.0
Amelia,25,92.0
Dylan,26,92.0
Sophia,27,92.0
Oliver,28,92.0
Lucas,29,0.0
Aria,30,92.0
Emily,31,92.0
Riley,32,92.0
Harper,33,92.0
Nora,34,88.0
Benjamin,35,92.0
Natalie,36,92.0
Lily,37,90.0
Audrey,38,88.0
Ava,39,92.0
Connor,40,92.0
Grace,41,92.0
Stella,42,88.0
Daniel,43,92.0
Elijah,44,92.0
Nathan,45,92.0
Leo,46,92.0
William,47,92.0
Ryan,48,92.0
Jacob,49,92.0
Owen,50,90.0
Matthew,51,92.0
Zachary,52,92.0
Ella,53,92.0
Penelope,54,88.0
Charlotte,55,92.0
Zoe,56,92.0
Scarlett,57,90.0
Ruby,58,90.0
Isabella,59,92.0
Hannah,60,92.0
Violet,61,92.0
Bella,62,90.0
Noah,63,92.0
Brown,64,90.0
Moore,65,92.0
Lewis,66,88.0
Rodriguez,67,92.0
Gonzalez,68,88.0
Garcia,69,90.0
Anderson,70,92.0
Martin,71,86.0
Perez,72,90.0
Young,73,88.0
Ramirez,74,90.0
Hill,75,90.0
Nguyen,76,86.0
Taylor,77,90.0
Scott,78,92.0
Thomas,79,92.0
Ramirez,80,92.0
Allen,81,88.0
Davis,82,92.0
Harris,83,88.0
Thompson,84,90.0
Lewis,85,92.0
Lee,86,90.0
Sanchez,87,92.0
Wright,88,90.0
Lopez,89,88.0
Hill,90,90.0
Martin,91,90.0
Harris,92,90.0
Taylor,93,94.0
Johnson,94,90.0
Williams,95,90.0
Moore,96,84.0
Thompson,97,88.0
Scott,98,90.0
Ramirez,99,92.0
Thompson,100,90.0
Walker,101,88.0
Hernandez,102,90.0
Nguyen,103,92.0
Wright,104,92.0
Johnson,105,92.0
Flores,106,88.0
Miller,107,90.0
Johnson,108,90.0
Hernandez,109,90.0
Allen,110,90.0
