name,student_number,score.percentage
Alexander,13,84.0
Evelyn,14,82.0
Ethan,15,82.0
Samuel,16,78.0
Henry,17,80.0
Layla,18,82.0
Olivia,19,84.0
Hazel,20,84.0
Jack,21,84.0
Caleb,22,82.0
James,23,82.0
Madison,24,80.0
Amelia,25,82.0
Dylan,26,80.0
Sophia,27,78.0
Oliver,28,82.0
Lucas,29,84.0
Aria,30,82.0
Emily,31,82.0
Riley,32,84.0
Harper,33,82.0
Nora,34,76.0
Benjamin,35,84.0
Natalie,36,78.0
Lily,37,80.0
Audrey,38,78.0
Ava,39,82.0
Connor,40,82.0
Grace,41,82.0
Stella,42,80.0
Daniel,43,82.0
Elijah,44,82.0
Nathan,45,80.0
Leo,46,82.0
William,47,80.0
Ryan,48,84.0
Jacob,49,80.0
Owen,50,82.0
Matthew,51,76.0
Zachary,52,78.0
Ella,53,82.0
Penelope,54,80.0
Charlotte,55,78.0
Zoe,56,82.0
Scarlett,57,80.0
Ruby,58,82.0
Isabella,59,84.0
Hannah,60,80.0
Violet,61,82.0
Bella,62,82.0
Noah,63,78.0
Brown,64,82.0
Moore,65,82.0
Lewis,66,82.0
Rodriguez,67,80.0
Gonzalez,68,78.0
Garcia,69,82.0
Anderson,70,80.0
Martin,71,80.0
Perez,72,78.0
Young,73,82.0
Ramirez,74,82.0
Hill,75,80.0
Nguyen,76,74.0
Taylor,77,76.0
Scott,78,82.0
Thomas,79,80.0
Ramirez,80,80.0
Allen,81,82.0
Davis,82,82.0
Harris,83,80.0
Thompson,84,78.0
Lewis,85,80.0
Lee,86,84.0
Sanchez,87,78.0
Wright,88,78.0
Lopez,89,82.0
Hill,90,80.0
Martin,91,82.0
Harris,92,80.0
Taylor,93,82.0
Johnson,94,78.0
Williams,95,80.0
Moore,96,86.0
Thompson,97,82.0
Scott,98,78.0
Ramirez,99,80.0
Thompson,100,80.0
Walker,101,80.0
Hernandez,102,78.0
Nguyen,103,84.0
Wright,104,84.0
Johnson,105,78.0
Flores,106,78.0
Miller,107,82.0
Johnson,108,80.0
Hernandez,109,80.0
Allen,110,78.0
