name,student_number,score.percentage
Alexander,13,76.0
Evelyn,14,80.0
Ethan,15,80.0
Samuel,16,78.0
Henry,17,80.0
Layla,18,78.0
Olivia,19,78.0
Hazel,20,82.0
Jack,21,78.0
Caleb,22,76.0
James,23,74.0
Madison,24,74.0
Amelia,25,84.0
Dylan,26,80.0
Sophia,27,76.0
Oliver,28,76.0
Lucas,29,78.0
Aria,30,80.0
Emily,31,76.0
Riley,32,68.0
Harper,33,80.0
Nora,34,82.0
Benjamin,35,76.0
Natalie,36,82.0
Lily,37,74.0
Audrey,38,44.0
Ava,39,78.0
Connor,40,80.0
Grace,41,78.0
Stella,42,76.0
Daniel,43,80.0
Elijah,44,80.0
Nathan,45,80.0
Leo,46,74.0
William,47,80.0
Ryan,48,78.0
Jacob,49,52.0
Owen,50,76.0
Matthew,51,24.0
Zachary,52,78.0
Ella,53,82.0
Penelope,54,82.0
Charlotte,55,76.0
Zoe,56,68.0
Scarlett,57,72.0
Ruby,58,78.0
Isabella,59,80.0
Hannah,60,80.0
Violet,61,78.0
Bella,62,76.0
Noah,63,40.0
Brown,64,78.0
Moore,65,78.0
Lewis,66,40.0
Rodriguez,67,82.0
Gonzalez,68,76.0
Garcia,69,76.0
Anderson,70,82.0
Martin,71,76.0
Perez,72,62.0
Young,73,70.0
Ramirez,74,80.0
Hill,75,80.0
Nguyen,76,68.0
Taylor,77,84.0
Scott,78,78.0
Thomas,79,66.0
Ramirez,80,78.0
Allen,81,80.0
Davis,82,80.0
Harris,83,80.0
Thompson,84,82.0
Lewis,85,72.0
Lee,86,80.0
Sanchez,87,40.0
Wright,88,80.0
Lopez,89,78.0
Hill,90,78.0
Martin,91,76.0
Harris,92,76.0
Taylor,93,82.0
Johnson,94,80.0
Williams,95,80.0
Moore,96,78.0
Thompson,97,82.0
Scott,98,80.0
Ramirez,99,64.0
Thompson,100,80.0
Walker,101,78.0
Hernandez,102,76.0
Nguyen,103,78.0
Wright,104,68.0
Johnson,105,74.0
Flores,106,80.0
Miller,107,80.0
Johnson,108,82.0
Hernandez,109,86.0
Allen,110,76.0
