name,student_number,score.percentage
Alexander,13,92.0
Evelyn,14,92.0
Ethan,15,90.0
Samuel,16,94.0
Henry,17,94.0
Layla,18,92.0
Olivia,19,94.0
Hazel,20,94.0
Jack,21,94.0
Caleb,22,94.0
James,23,92.0
Madison,24,92.0
Amelia,25,94.0
Dylan,26,94.0
Sophia,27,92.0
Oliver,28,94.0
Lucas,29,96.0
Aria,30,94.0
Emily,31,94.0
Riley,32,92.0
Harper,33,96.0
Nora,34,92.0
Benjamin,35,92.0
Natalie,36,94.0
Lily,37,92.0
Audrey,38,92.0
Ava,39,96.0
Connor,40,92.0
Grace,41,94.0
Stella,42,88.0
Daniel,43,94.0
Elijah,44,96.0
Nathan,45,96.0
Leo,46,96.0
William,47,92.0
Ryan,48,90.0
Jacob,49,90.0
Owen,50,94.0
Matthew,51,92.0
Zachary,52,96.0
Ella,53,94.0
Penelope,54,94.0
Charlotte,55,94.0
Zoe,56,28.0
Scarlett,57,92.0
Ruby,58,94.0
Isabella,59,94.0
Hannah,60,94.0
Violet,61,94.0
Bella,62,92.0
Noah,63,34.0
Brown,64,96.0
Moore,65,96.0
Lewis,66,92.0
Rodriguez,67,92.0
Gonzalez,68,96.0
Garcia,69,92.0
Anderson,70,92.0
Martin,71,94.0
Perez,72,92.0
Young,73,94.0
Ramirez,74,90.0
Hill,75,94.0
Nguyen,76,84.0
Taylor,77,84.0
Scott,78,94.0
Thomas,79,94.0
Ramirez,80,94.0
Allen,81,92.0
Davis,82,94.0
Harris,83,94.0
Thompson,84,94.0
Lewis,85,96.0
Lee,86,96.0
Sanchez,87,94.0
Wright,88,90.0
Lopez,89,94.0
Hill,90,92.0
Martin,91,94.0
Harris,92,94.0
Taylor,93,92.0
Johnson,94,92.0
Williams,95,92.0
Moore,96,96.0
Thompson,97,94.0
Scott,98,94.0
Ramirez,99,22.0
Thompson,100,94.0
Walker,101,90.0
Hernandez,102,94.0
Nguyen,103,94.0
Wright,104,90.0
Johnson,105,90.0
Flores,106,94.0
Miller,107,94.0
Johnson,108,92.0
Hernandez,109,94.0
Allen,110,94.0
